step,episode,episode_return,episode_length,seed
149504,527,500.0,500,1
151552,528,500.0,500,1
151552,529,500.0,500,1
151552,530,500.0,500,1
151552,531,500.0,500,1
153600,532,268.0,268,1
153600,533,152.0,152,1
153600,534,500.0,500,1
153600,535,500.0,500,1
153600,536,500.0,500,1
155648,537,13.0,13,1
155648,538,500.0,500,1
155648,539,146.0,146,1
155648,540,296.0,296,1
155648,541,500.0,500,1
155648,542,500.0,500,1
157696,543,500.0,500,1
157696,544,500.0,500,1
157696,545,380.0,380,1
157696,546,500.0,500,1
159744,547,500.0,500,1
159744,548,500.0,500,1
159744,549,500.0,500,1
159744,550,500.0,500,1
161792,551,500.0,500,1
161792,552,500.0,500,1
161792,553,500.0,500,1
161792,554,500.0,500,1
163840,555,500.0,500,1
163840,556,500.0,500,1
163840,557,500.0,500,1
163840,558,500.0,500,1
165888,559,500.0,500,1
165888,560,500.0,500,1
165888,561,500.0,500,1
165888,562,500.0,500,1
167936,563,500.0,500,1
167936,564,500.0,500,1
167936,565,500.0,500,1
167936,566,500.0,500,1
169984,567,500.0,500,1
169984,568,500.0,500,1
169984,569,500.0,500,1
169984,570,500.0,500,1
172032,571,500.0,500,1
172032,572,500.0,500,1
172032,573,500.0,500,1
172032,574,500.0,500,1
174080,575,132.0,132,1
174080,576,500.0,500,1
174080,577,500.0,500,1
174080,578,500.0,500,1
176128,579,500.0,500,1
176128,580,477.0,477,1
176128,581,500.0,500,1
176128,582,500.0,500,1
178176,583,500.0,500,1
178176,584,500.0,500,1
178176,585,500.0,500,1
178176,586,500.0,500,1
180224,587,139.0,139,1
180224,588,500.0,500,1
180224,589,500.0,500,1
180224,590,500.0,500,1
182272,591,500.0,500,1
182272,592,500.0,500,1
182272,593,500.0,500,1
182272,594,500.0,500,1
184320,595,500.0,500,1
184320,596,500.0,500,1
184320,597,500.0,500,1
184320,598,500.0,500,1
186368,599,500.0,500,1
186368,600,500.0,500,1
186368,601,500.0,500,1
186368,602,500.0,500,1
188416,603,500.0,500,1
188416,604,500.0,500,1
188416,605,500.0,500,1
188416,606,500.0,500,1
190464,607,297.0,297,1
190464,608,371.0,371,1
190464,609,500.0,500,1
190464,610,500.0,500,1
192512,611,500.0,500,1
192512,612,124.0,124,1
192512,613,500.0,500,1
192512,614,500.0,500,1
194560,615,500.0,500,1
194560,616,500.0,500,1
194560,617,500.0,500,1
194560,618,500.0,500,1
196608,619,500.0,500,1
196608,620,500.0,500,1
196608,621,500.0,500,1
196608,622,500.0,500,1
198656,623,500.0,500,1
198656,624,500.0,500,1
198656,625,500.0,500,1
198656,626,500.0,500,1
200704,627,500.0,500,1
200704,628,500.0,500,1
200704,629,500.0,500,1
200704,630,500.0,500,1
202752,631,500.0,500,1
202752,632,500.0,500,1
202752,633,500.0,500,1
202752,634,500.0,500,1
204800,635,500.0,500,1
204800,636,500.0,500,1
204800,637,500.0,500,1
204800,638,500.0,500,1
206848,639,500.0,500,1
206848,640,500.0,500,1
206848,641,500.0,500,1
206848,642,500.0,500,1
208896,643,500.0,500,1
208896,644,500.0,500,1
208896,645,500.0,500,1
208896,646,500.0,500,1
210944,647,500.0,500,1
210944,648,500.0,500,1
210944,649,500.0,500,1
210944,650,500.0,500,1
212992,651,500.0,500,1
212992,652,500.0,500,1
212992,653,500.0,500,1
212992,654,500.0,500,1
215040,655,284.0,284,1
215040,656,500.0,500,1
215040,657,500.0,500,1
215040,658,500.0,500,1
217088,659,500.0,500,1
217088,660,500.0,500,1
217088,661,500.0,500,1
217088,662,500.0,500,1
219136,663,500.0,500,1
219136,664,500.0,500,1
219136,665,500.0,500,1
219136,666,500.0,500,1
221184,667,500.0,500,1
221184,668,500.0,500,1
221184,669,500.0,500,1
221184,670,500.0,500,1
223232,671,500.0,500,1
223232,672,500.0,500,1
223232,673,500.0,500,1
223232,674,500.0,500,1
225280,675,500.0,500,1
225280,676,500.0,500,1
225280,677,500.0,500,1
225280,678,500.0,500,1
227328,679,500.0,500,1
227328,680,500.0,500,1
227328,681,496.0,496,1
227328,682,352.0,352,1
229376,683,358.0,358,1
229376,684,500.0,500,1
229376,685,412.0,412,1
229376,686,305.0,305,1
229376,687,326.0,326,1
231424,688,500.0,500,1
231424,689,500.0,500,1
231424,690,195.0,195,1
231424,691,500.0,500,1
233472,692,500.0,500,1
233472,693,500.0,500,1
233472,694,500.0,500,1
233472,695,500.0,500,1
235520,696,500.0,500,1
235520,697,500.0,500,1
235520,698,500.0,500,1
235520,699,500.0,500,1
237568,700,500.0,500,1
237568,701,500.0,500,1
237568,702,500.0,500,1
237568,703,500.0,500,1
239616,704,500.0,500,1
239616,705,500.0,500,1
239616,706,500.0,500,1
239616,707,275.0,275,1
241664,708,484.0,484,1
241664,709,496.0,496,1
241664,710,500.0,500,1
241664,711,500.0,500,1
243712,712,500.0,500,1
243712,713,500.0,500,1
243712,714,363.0,363,1
243712,715,326.0,326,1
245760,716,500.0,500,1
245760,717,500.0,500,1
245760,718,500.0,500,1
245760,719,500.0,500,1
247808,720,500.0,500,1
247808,721,500.0,500,1
247808,722,500.0,500,1
247808,723,500.0,500,1
249856,724,500.0,500,1
249856,725,500.0,500,1
249856,726,500.0,500,1
249856,727,500.0,500,1
251904,728,500.0,500,1
251904,729,500.0,500,1
251904,730,500.0,500,1
251904,731,486.0,486,1
253952,732,376.0,376,1
253952,733,500.0,500,1
253952,734,347.0,347,1
253952,735,500.0,500,1
256000,736,500.0,500,1
256000,737,266.0,266,1
256000,738,390.0,390,1
256000,739,375.0,375,1
256000,740,494.0,494,1
258048,741,500.0,500,1
258048,742,500.0,500,1
258048,743,500.0,500,1
258048,744,500.0,500,1
260096,745,500.0,500,1
260096,746,500.0,500,1
260096,747,500.0,500,1
260096,748,491.0,491,1
262144,749,500.0,500,1
262144,750,500.0,500,1
262144,751,500.0,500,1
262144,752,500.0,500,1
264192,753,500.0,500,1
264192,754,497.0,497,1
264192,755,500.0,500,1
264192,756,500.0,500,1
266240,757,500.0,500,1
266240,758,500.0,500,1
266240,759,500.0,500,1
266240,760,500.0,500,1
268288,761,500.0,500,1
268288,762,278.0,278,1
268288,763,500.0,500,1
268288,764,500.0,500,1
270336,765,500.0,500,1
270336,766,277.0,277,1
270336,767,500.0,500,1
270336,768,500.0,500,1
272384,769,500.0,500,1
272384,770,500.0,500,1
272384,771,500.0,500,1
272384,772,500.0,500,1
274432,773,500.0,500,1
274432,774,500.0,500,1
274432,775,500.0,500,1
274432,776,500.0,500,1
276480,777,500.0,500,1
276480,778,500.0,500,1
276480,779,500.0,500,1
276480,780,500.0,500,1
278528,781,500.0,500,1
278528,782,500.0,500,1
278528,783,500.0,500,1
278528,784,500.0,500,1
280576,785,147.0,147,1
280576,786,500.0,500,1
280576,787,500.0,500,1
280576,788,500.0,500,1
282624,789,500.0,500,1
282624,790,500.0,500,1
282624,791,500.0,500,1
282624,792,500.0,500,1
284672,793,500.0,500,1
284672,794,500.0,500,1
284672,795,500.0,500,1
284672,796,500.0,500,1
286720,797,500.0,500,1
286720,798,500.0,500,1
286720,799,500.0,500,1
286720,800,500.0,500,1
288768,801,500.0,500,1
288768,802,500.0,500,1
288768,803,500.0,500,1
288768,804,500.0,500,1
290816,805,500.0,500,1
290816,806,500.0,500,1
290816,807,500.0,500,1
290816,808,500.0,500,1
292864,809,500.0,500,1
292864,810,500.0,500,1
292864,811,500.0,500,1
292864,812,500.0,500,1
294912,813,71.0,71,1
294912,814,500.0,500,1
294912,815,500.0,500,1
294912,816,500.0,500,1
296960,817,500.0,500,1
296960,818,500.0,500,1
296960,819,500.0,500,1
296960,820,500.0,500,1
299008,821,500.0,500,1
299008,822,500.0,500,1
299008,823,500.0,500,1
299008,824,500.0,500,1
301056,825,500.0,500,1
301056,826,500.0,500,1
301056,827,500.0,500,1
301056,828,500.0,500,1
303104,829,500.0,500,1
303104,830,500.0,500,1
303104,831,500.0,500,1
303104,832,500.0,500,1
305152,833,500.0,500,1
305152,834,500.0,500,1
305152,835,390.0,390,1
305152,836,434.0,434,1
307200,837,500.0,500,1
307200,838,500.0,500,1
307200,839,500.0,500,1
307200,840,500.0,500,1
309248,841,500.0,500,1
309248,842,500.0,500,1
309248,843,500.0,500,1
309248,844,500.0,500,1
311296,845,500.0,500,1
311296,846,478.0,478,1
311296,847,500.0,500,1
311296,848,500.0,500,1
313344,849,500.0,500,1
313344,850,500.0,500,1
313344,851,500.0,500,1
313344,852,500.0,500,1
315392,853,500.0,500,1
315392,854,500.0,500,1
315392,855,500.0,500,1
315392,856,500.0,500,1
317440,857,415.0,415,1
317440,858,500.0,500,1
317440,859,500.0,500,1
317440,860,500.0,500,1
319488,861,201.0,201,1
319488,862,500.0,500,1
319488,863,500.0,500,1
319488,864,500.0,500,1
321536,865,500.0,500,1
321536,866,500.0,500,1
321536,867,500.0,500,1
321536,868,500.0,500,1
323584,869,500.0,500,1
323584,870,434.0,434,1
323584,871,500.0,500,1
323584,872,500.0,500,1
325632,873,500.0,500,1
325632,874,500.0,500,1
325632,875,500.0,500,1
325632,876,500.0,500,1
327680,877,500.0,500,1
327680,878,500.0,500,1
327680,879,500.0,500,1
327680,880,500.0,500,1
329728,881,500.0,500,1
329728,882,500.0,500,1
329728,883,500.0,500,1
329728,884,500.0,500,1
331776,885,375.0,375,1
331776,886,500.0,500,1
331776,887,341.0,341,1
331776,888,500.0,500,1
333824,889,500.0,500,1
333824,890,500.0,500,1
333824,891,500.0,500,1
333824,892,500.0,500,1
335872,893,500.0,500,1
335872,894,500.0,500,1
335872,895,500.0,500,1
335872,896,500.0,500,1
337920,897,500.0,500,1
337920,898,500.0,500,1
337920,899,500.0,500,1
337920,900,500.0,500,1
339968,901,500.0,500,1
339968,902,500.0,500,1
339968,903,500.0,500,1
